题目,思路,章节
定积分的简化计算,"含自变量带绝对值的定积分：
1、仅有绝对值：按照定积分的上下限去掉绝对值符号
2、含有自变量：讨论自变量的值相对于上下限所决定的绝对值号内的符号去掉绝对值号
——————————————————————————
对称区间或者周期函数的积分：
1、对称区间：对称区间上常拆分为两项之和，然后并项处理
2、周期函数：周期函数的积分可以转换到对称区间上求解
备注：周期函数的积分比上$x$的极限可以先将周期函数积分标准化<详细步骤：复习全书 106页 例 16>
——————————————————————————
积分的比较和估计：
1、比较定理：两个函数的比较转移到积分的比较$\int_{a}^{b} f(x) \mathrm{d} x \leqslant \int_{a}^{b} g(x) \mathrm{d} x$（特别的当存在一点不相等时可以把式子的等号去掉$\int_{a}^{b} f(x) \mathrm{d} x<\int_{a}^{b} g(x) \mathrm{d} x$）
2、积分中值定理：函数在闭区间$[a,b]$上连续，则至少存在开区间内一点$\xi \in (a,b)$，使得$\int_{a}^{b} f(x) \mathrm{d} x=f(\xi)(b-a)$
注意：对于积分的比较只有定积分才能进行（不定积分是不能比较的，$\int f(x) \mathrm{d} x,\int_{a}^{x} f(t) \mathrm{d}x$都不可以比较）
——————————————————————————
常用的积分处理方式：（证明题）
1、规范化：对于条件$\int_{0}^{1} f(x) \mathrm{d} x=c \neq 0$，构造函数$F(x)=\frac{1}{c} \int_{0}^{x} f(t) \mathrm{d} t, x \in(0,1] . F(0)=0, F(1)=1$",一元积分
极限存在性证明与求解,"单调有界定理证明极限的存在性：
1、数列（函数）单调减少且有下界，则极限存在并大于下界（界限可能太靠下了）
2、数列（函数）单调增加且有上界，则极限存在并小于下界（界限可能太靠上了）
——————————————————————————
利用夹逼定理求解极限：
1、使用准则：不要改变起主要作用的n的最高次项，放大缩小之后的极限相等（难点）",函数极限连续
方程解构造方程,"由方程的特解构造方程：（形式已知，是常系数的，或者可以看出来具有常系数方程解的形式）
1、判断方程的阶数，由此得到方程齐次解和特解的个数
2、先由方程的特解互相组合（相减）求解方程的齐次解（求得几个线性无关的齐次解）
3、由齐次解的形式得到方程特征方程的根，由此得到方程的左边形式，等号右边设为$f(x)$的形式
4、将不包含齐次解的特解代入得到$f(x)$
——————————————————————————
由方程的特解构造方程：（形式未知，不知道是不是常系数，或者无法明显看出来是常系数的）
1、判断方程的阶数，由此得到方程齐次解和特解的个数
2、先由方程的特解互相组合（相减）求解方程的齐次解（求得几个线性无关的齐次解），构造出方程的通解形式（包含未知数）
3、对通解形式求一阶导和二阶导，联立并消去其中的未知数，得到的式子就是方程",常微分方程
求解第一类曲面积分,"步骤：
1、利用对称性和奇偶性化简，直接法进行计算（应用公式将曲面映射到某一个平面上，转换成二重积分）
key：
1、注意选取合适的平面（映射平面）
2：曲面方程可以代入到被积分函数中（因为映射需要去掉第三个维度，并且曲面的积分是对于面上的一点来说的，曲面方程可以表示被积分函数需要的所有的点）
——————————————————————————
奇偶性对称性应用：
1、对称性仅对积分曲面有要求（积分曲面变量互换后方程不变，变量就可以互换）
2、奇偶性对积分曲面和被积分函数都有要求（积分曲面对称、被积分函数关于对称方向有奇偶性）
——————————————————————————
直接法计算：
1、计算公式：积分曲面$\Sigma$由方程$z=z(x, y)$给出，$\Sigma$在$x O y$面上的投影域为$D$，函数$z(x, y)$在$D$上有连续一阶偏导数，$f(x, y, z)$在$\Sigma$上连续，则$\iint_{\Sigma} f(x, y, z) \mathrm{d} S=\newline\iint_{D} f(x, y, z(x, y)) \sqrt{1+(z_{x}^{\prime})^{2}+(z_{y}^{\prime})^{2}} \mathrm{~d} x \mathrm{~d} y$（曲面积分转成平面积分）（对于$\sqrt{1+\left(z_{x}^{\prime}\right)^{2}+\left(z_{y}^{\prime}\right)^{2}}$的化简是可以代入曲面的方程进行化简的，因为这里是在利用曲面的指定位置求解曲面向平面转换的系数）（对于曲面的投影，如果是一个球类的曲面或者是关于投影面对称，注意是分割成两部分投影，最终结果乘2）（具有规范性的图形一般先使用平移法进行化简）
——————————————————————————
图形判别：
1、凭借图形选取合适的dS（例如圆筒形，可以按照纵向分割成圆环形dS）",多元积分
求解第二类曲线积分（二维）,"步骤：
1、如果曲线封闭，则考虑使用格林公式（注意区域是否有不连续一阶偏导的点）
2、如果不封闭，考虑路径无关（改变积分路径或者求解原函数）
3、如果直接法方便则使用直接法，否则考虑补线（注意补线的路径包含的区域需要绕过不连续一阶导的点！）使用格林公式
——————————————————————————
直接法（适用于参数方程）：
1、参数式表示为$L:\left\{\begin{array}{l}x=x(t), \\ y=y(t),\end{array} t \in[\alpha, \beta]\right.$
2、计算公式：$\int_{L} P \mathrm{~d} x+Q \mathrm{~d} y=\int_{a}^{\beta}\left[P(x(t), y(t)) x^{\prime}(t)+Q(x(t), y(t)) y^{\prime}(t)\right] \mathrm{d} t$，这里$\alpha$对应$L$的起点，$\beta$对应曲线$L$的终点
——————————————————————————
xy变量之间有简单关系式：
1、将变量代入转换成定积分：例如x与y的方程是一条直线，可以直接代入到第二类曲面方程中化成定积分
注意：第二类曲面积分没有对称性和奇偶性
——————————————————————————
格林公式法：（连接平面上第二类曲线积分与二重积分）（是斯托克公式的在平面上的特殊情形）
1、前提条件：区域$D$由分段光滑闭曲线$L$围成；$P(x, y)$及$Q(x, y)$在区域$D$连续一阶偏导
2、计算公式：$\oint_{L} P \mathrm{~d} x+Q \mathrm{~d} y=\iint_{D}\left(\frac{\partial Q}{\partial x}-\frac{\partial P}{\partial y}\right) \mathrm{d} x \mathrm{~d} y$，其中$L$是$D$的取正向的边界曲线（正向是指沿$L$的某一方向前进时，区域$D$始终在左侧）（根据曲线方向和包围面的关系确定积分的正负性）
3、对于不连续点的处理：添加曲线将不连续的点排除在外，并且该新加的曲线能够抵消掉被积分函数中不连续的点（化解掉分母）<复习全书P241>
注意：格林公式仅有分段光滑曲线和区域内连续一阶偏导的条件，并没有路径无关的$\frac{\partial P}{\partial y}=\frac{\partial Q}{\partial x}, \forall(x, y) \in D$
备注：对于包含不连续一阶导点的区域，沿任何不包含该点在内的分段光滑曲线积分为0；沿任何包含该点在内的分段光滑曲线积分相等
备注：曲线为闭曲线（或通过补线形成闭区域）；在积分区域上P、Q具有连续一阶偏导（注意判断是否有不存在的点：如果xy在分母上会有<0,0>点导数不存在的情况）；如果区域内部含有不存在的点的情况，通过补上一条规则曲线（曲线的选择为去掉被积分函数的分母为准）（目的是将不存在的点圈出来），然后转换为求补上的曲线内部的积分（这时通过曲线的特殊选择将分母的不可导点去掉了，可以进行内部积分了）
——————————————————————————
补线用格林公式（不封闭曲线）：
1、计算公式：$\int_{L(\widehat{A B})} P \mathrm{~d} x+Q \mathrm{~d} y=\oint_{L(\widehat{A B})+L_{1}(\widehat{B A})} P \mathrm{~d} x+Q \mathrm{~d} y-\int_{L_{1}(\widehat{BA})} P \mathrm{~d} x+Q \mathrm{~d} y$（如果右边第一项满足格林公式条件就用格林公式，否则适用直接法）
——————————————————————————
路径无关法：
1、判定路径无关：设$P(x, y), Q(x, y)$在单连通域$D$上有连续一阶偏导数，则以下四条等价 (1) 线积分$\int P \mathrm{~d} x+Q \mathrm{~d} y$与路径无关；(2)$\oint_{C} P \mathrm{~d} x+Q \mathrm{~d} y=0$，其中$C$为$D$中任一分段光滑闭曲线；(3)$\frac{\partial P}{\partial y}=\frac{\partial Q}{\partial x}, \forall(x, y) \in D$；(4)存在可微函数$F(x, y)$，使$P(x, y) \mathrm{d} x+Q(x, y) \mathrm{d} y=\mathrm{d} F(x, y)$（路径无关的P、Q一般具有明显的变量对称性）
2、路径无关的计算：改换路径，通常取平行于坐标轴的折线；利用原函数，设$F(x, y)$是$P \mathrm{~d} x+Q \mathrm{~d} y$的原函数, 即$P \mathrm{~d} x+Q \mathrm{~d} y=\mathrm{d} F(x, y)$，则$\int_{(A)}^{(B)} P \mathrm{~d} x+Q \mathrm{~d} y=F\left(x_{2}, y_{2}\right)-F\left(x_{1}, y_{1}\right)$，其中L的起点为$A\left(x_{1}, y_{1}\right)$，终点为$B\left(x_{2}, y_{2}\right)$（求解原函数可以用偏积分和凑微分）",多元积分
定积分或变限积分的零点问题,"1、转变限函数：将积分转成变限积分看成变限的函数，用微分学中的方法
2、积分中值定理：
3、拉格朗日中值定理：双中值问题，找中间的一点作为跳板，两边分别应用拉格朗日中值定理，然后将跳板消掉",一元积分
组合级数判断敛散性,"级数关系的敛散性判别：
1、相乘：相乘常用不等式$|u_nv_n| \le \frac{1}{2}(u_n^2+v_n^2)$；
2、相加：两个发散的正项级数相加还是发散的（如果没有提到正项条件则结果是不确定的）；两个收敛的级数相加减还是收敛的
3、绝对值：如果$\sum_{n=0}^{\infty}u_n$发散，则$\sum_{n=0}^{\infty}|u_n|$发散（反证法：否则绝对收敛会推出原级数收敛）；
4、代入法：特殊级数（$\sum_{n=0}^{\infty}\frac{1}{n}$或者$\sum_{n=0}^{\infty}(-1)^n·\frac{1}{n}$或者$\sum_{n=0}^{\infty}\frac{1}{2n}$；$\sum_{n=0}^{\infty}\frac{1}{\sqrt n}$）
5、判别法：利用与现有的级数敛散性进行比较判别法
6、其它：当正项级数$\sum_{n=1}^{\infty} u_{n}$收敛时，有$\lim_{n \rightarrow \infty} u_{n}=0$，则当$n$充分大时，$\left|u_{n}\right|=u_{n}<1$(有界)，故$u_{n}^{2}<u_{n}$，由比较审敛法，知$\sum_{n=1}^{\infty} u_{n}^{2}$收敛；若$\sum_{n=1}^{\infty}(-1)^{n-1} u_{n}\left(u_{n}>0\right)$收敛，则$\sum_{n=1}^{\infty}\left(u_{2 n-1}-u_{2 n}\right)$收敛（级数加括号）；若$\sum_{n=1}^{\infty} u_{n}^{2}$收 敛，则$\sum_{n=1}^{\infty}(-1)^{n-1} \frac{u_{n}}{n}$绝对收 敛，因$\left|(-1)^{n-1} \frac{u_{n}}{n}\right| \leqslant \frac{1}{2}\left(u_{n}^{2}+\frac{1}{n^{2}}\right)$，而$\sum_{n=1}^{\infty} \frac{1}{n^{2}}$收敛，由比较审敛法，可知$\sum_{n=1}^{\infty}(-1)^{n-1} \frac{u_{n}}{n}$绝对收敛
——————————————————————————
条件收敛和绝对收敛组合判断：
1、绝对收敛+-绝对收敛=绝对收敛
2、绝对收敛+-条件收敛=条件收敛
3、条件收敛+-条件收敛=条件或绝对收敛
——————————————————————————
已知级数与级数的相乘的极限，求解级数的敛散性：
1、定义找关系：从定义出发，找到两个级数的部分和的关系
2、比较判别法：寻找有界性条件，对待验证的级数进行放缩，得到可以利用已知条件证明的级数，最后利用比较判别法证明放缩前的级数收敛
3、比较极限判别：将已知极限的式子转换成待求式子与已知敛散性式子相除的形式，利用比较判别法（例子：已知$na_n$收敛，求解${a_n}^2$的极限，将$na_n$转换成$\frac{{a_n}^2}{ 1/n^2 }$）
——————————————————————————
已知级数形式收敛证明另一种形式（同一个未知量/级数）敛散性：（看不懂了，待补充）
1、求出未知级数/量
2、找出已知级数形式与未知级数形式的（可能需要部分和展开）关系（将已知的级数进行必要的转换（收敛的数列项存在上界->放大））
3、对未知级数进行转换和放缩
——————————————————————————
备注：区分数列收敛与级数收敛，数列收敛是数列趋近于一个值，级数收敛是数列的级数和趋近于一个值",无穷级数
求解函数的傅里叶级数的和函数,"傅里叶级数的和函数：
1、利用敛散性定理处理边界点和间断点（区分求解和函数和求解傅里叶展开式）
2、敛散性定理：狄里克雷定理：除有限个第一类间断点外都连续；只有有限个极值点，则$f(x)$的傅里叶级数在$[-\pi, \pi]$上处处收敛，且收敛于(1)$f(x)$, 当$x$为$f(x)$的连续点；(2)$ \frac{f\left(x^{-}\right)+f\left(x^{+}\right)}{2}$，当$x$为$f(x)$的间断点；(3)$\frac{f\left(-\pi^{+}\right)+f\left(\pi^{-}\right)}{2}$，当$x=\pm \pi$
——————————————————————————
傅里叶级数表示：
1、傅里叶级数三角级数：$f(x) \sim \frac{a_{0}}{2}+\sum_{n=1}^{\infty}\left(a_{n} \cos n x+b_{n} \sin n x\right)$
2、傅里叶级数是一种均方逼近（$f(x) - \frac{a_{0}}{2}+\sum_{n=1}^{\infty}\left(a_{n} \cos n x+b_{n} \sin n x\right)$的平方在区间内积分最小）
——————————————————————————
将函数展开为傅里叶级数：（周期为$2\pi$）
1、$[-\pi, \pi]$上展开：$\left\{\begin{array}{l} a_{n}=\frac{1}{\pi} \int_{-\pi}^{\pi} f(x) \cos n x \mathrm{~d} x, \quad n=0,1,2, \cdots \\ b_{n}=\frac{1}{\pi} \int_{-\pi}^{\pi} f(x) \sin n x \mathrm{~d} x, \quad n=1,2, \cdots \end{array}\right.$
2、$[-\pi, \pi]$上奇偶函数的情况：$f(x)$为奇函数时$\begin{cases}a_{n}=0, & n=0,1, \cdots \\ b_{n}=\frac{2}{\pi} \int_{0}^{\pi} f(x) \sin n x \mathrm{~d} x, & n=1,2, \cdots\end{cases}$，$f(x)$为偶函数时$\begin{cases}a_{n}=\frac{2}{\pi} \int_{0}^{\pi} f(x) \cos n x \mathrm{~d} x, & n=0,1,2, \cdots \\ b_{n}=0, & n=1,2, \cdots\end{cases}$
3、$[0, \pi]$上展为正弦或展为余弦级数：正弦展开为$\begin{cases}a_{n}=0, & n=0,1,2, \cdots \\ b_{n}=\frac{2}{\pi} \int_{0}^{\pi} f(x) \sin n x \mathrm{~d} x, & n=1,2, \cdots\end{cases}$；余弦展开为$\begin{cases}a_{n}=\frac{2}{\pi} \int_{0}^{\pi} f(x) \cos n x \mathrm{~d} x, & n=0,1,2, \cdots \\ b_{n}=0, & n=1,2, \cdots\end{cases}$（相当于将半区间延拓成奇函数或者偶函数形式，延拓之后与上述2公式一致）
——————————————————————————
将函数展开为傅里叶级数：（周期为$2l$）
1、$[-l, l]$上展开：$\left\{\begin{array}{l}
a_{n}=\frac{1}{l} \int_{-l}^{l} f(x) \cos \frac{n \pi x}{l} \mathrm{~d} x, \quad n=0,1,2, \cdots \\
b_{n}=\frac{1}{l} \int_{-l}^{l} f(x) \sin \frac{n \pi x}{l} \mathrm{~d} x, \quad n=1,2, \cdots
\end{array}\right.$
2、$[-l, l]$上奇偶函数的情况：$f(x)$为奇函数时$\begin{cases}a_{n}=0, & n=0,1,2, \cdots \\ b_{n}=\frac{2}{l} \int_{0}^{l} f(x) \sin \frac{n \pi x}{l} \mathrm{~d} x, & n=1,2, \cdots\end{cases}$，$f(x)$为偶函数时$\begin{cases}a_{n}=\frac{2}{l} \int_{0}^{l} f(x) \cos \frac{n \pi x}{l} \mathrm{~d} x, & n=0,1,2, \cdots \\ b_{n}=0, & n=1,2, \cdots\end{cases}$
3、$[0, l]$上展为正弦或展为余弦级数：正弦展开为$\begin{cases}a_{n}=0, & n=0,1,2, \cdots \\ b_{n}=\frac{2}{l} \int_{0}^{l} f(x) \sin \frac{n \pi x}{l} \mathrm{~d} x, & n=1,2, \cdots\end{cases}$（奇延拓）；余弦展开为$\begin{cases}a_{n}=\frac{2}{l} \int_{0}^{l} f(x) \cos \frac{n \pi x}{l} \mathrm{~d} x, & n=0,1,2, \cdots \\ b_{n}=0, & n=1,2, \cdots\end{cases}$（偶延拓）
注意：标注定义域",无穷级数
函数中含有对函数的二重积分,"积分区域与函数变量无关：
1、将二重积分设置成一个变量A（需要认识到二重积分实际上是一个常数）
2、将设置变量后函数代入到函数的二重积分中得到等于A的一个方程，解出A即可
——————————————————————————
积分区域与函数变量相关：
1、将二重积分简化为与函数自变量相关的积分形式（例如将自变量转换到积分上限）
2、然后对两边同时求导数（一边是函数求导，一边是变上限积分求导）
3、可能需要利用常微分方程求解函数",多元积分
函数的特征,"连续性：
1、求解二元函数在一点的极限值（参考求解二重极限）
——————————————————————————
偏导存在与连续：
1、一点处偏导的存在性：定义法判断偏导数存在性
2、偏导在一点的连续性：求偏导在一点的极限，与定义值相比较判断偏导数在此点的偏导连续性
——————————————————————————
可微性：
1、利用可微的定义：考察$f_{x}^{\prime}\left(x_{0}, y_{0}\right)和f_{y}^{\prime}\left(x_{0}, y_{0}\right)$是否都存在，如果$f_{x}^{\prime}\left(x_{0}, y_{0}\right)$和$f_{y}^{\prime}\left(x_{0}, y_{0}\right)$中至少有一 个不存在，则函数$f(x, y)$在$\left(x_{0}, y_{0}\right)$不可微；如果$f_{x}^{\prime}\left(x_{0}, y_{0}\right)$和$f_{y}^{\prime}\left(x_{0}, y_{0}\right)$都存在，考察$\lim_{\Delta x \rightarrow 0,\Delta y \rightarrow 0}\frac{\left[f\left(x_{0}+\Delta x, y_{0}+\Delta y\right)-f\left(x_{0}, y_{0}\right)\right]-\left[f_{x}^{\prime}\left(x_{0}, y_{0}\right) \Delta x+f_{y}^{\prime}\left(x_{0}, y_{0}\right) \Delta y\right]}{\rho}=0$（可微定义式）是否成立，其中$\rho=\sqrt{(\Delta x)^{2}+(\Delta y)^{2}}$，如果该式成立，则称函数$f(x, y)$在点$(x_0, y_0)$处可微（可微的充要条件）（可微的定义可以将微分的概念（$\Delta z=f(x+\Delta x, y+\Delta y)-f(x, y)$或者$\Delta z=A \Delta x+B \Delta y+o(\rho)$）和偏导即可微的必要条件（$\mathrm{d} z=\frac{\partial z}{\partial x} \mathrm{~d} x+\frac{\partial z}{\partial y} \mathrm{~d} y$）关联起来，这里好像就有$A=\frac{\partial z}{\partial x},B=\frac{\partial z}{\partial y}$的嫌疑）
2、利用可微的必要条件：可微函数必可导，换言之，不可导的函数一定不可微（点处导数定义不存在）（判断二元函数不可微）
3、利用可微的充分条件：有连续一阶偏导数的函数一定可微（点处偏导数定义值等于偏导在该点的极限值）（判断二元函数可微）
4、利用微分的概念：函数$z=f(x, y)$在点$(x, y)$处的全增量$\Delta z=f(x+\Delta x, y+\Delta y)-f(x, y)$可以表示为$\Delta z=A \Delta x+B \Delta y+o(\rho)$，其中$A,B$不依赖于$\Delta x, \Delta y$，而仅与$x, y$有关，$\rho=\sqrt{(\Delta x)^{2}+(\Delta y)^{2}}$（也可以证明全增量$\Delta z=f(x+\Delta x, y+\Delta y)-f(x, y)$是$\rho=\sqrt{(\Delta x)^{2}+(\Delta y)^{2}}$的无穷小量，即$\lim_{\Delta x \rightarrow 0,\Delta y \rightarrow 0}\frac{f\left(x_{0}+\Delta x, y_{0}+\Delta y\right)-f\left(x_{0}, y_{0}\right)}{\rho}=0$，此时$A=0,B=0$）
——————————————————————————
极值与驻点的定义：
1、多元函数极值点定义：类似于领域内$f(x, y) \leqslant f\left(x_{0}, y_{0}\right)$（极大值）（注意可以取等号）（极值点除了需要考虑驻点外，还要考虑导数不存在的点）
2、多元函数驻点定义：使$f_{x}^{\prime}(x, y)=0, f_{y}^{\prime}(x, y)=0$同时成立的点$(x, y)$称为函数$f(x, y)$的驻点（驻点不一定是极值点；极值点不一定是驻点）
3、多元函数极值的必要条件：设函数$f(x, y)$在点$M_{0}\left(x_{0}, y_{0}\right)$的一阶偏导数存在，且在$\left(x_{0}, y_{0}\right)$取得极值，则$f_{x}^{\prime}\left(x_{0}, y_{0}\right)=0, f_{y}^{\prime}\left(x_{0}, y_{0}\right)=0$（由此可见具有一阶偏导数的函数的极值点一定是驻点，但驻点不一定是极值点）
——————————————————————————
求解最大最小值：
1、求出所有的极值点（求驻点判断极值点）和边界上的最大最小值
2、比较这些极值和边界上的最大最小值，其中最大的为最大值，最小的为最小值（废话）
注意：如果区域内不存在驻点，那么最值在边界上取（转换为条件极值问题，条件为边界）
备注：有的最值问题可以从几何上进行考虑，转换为几何关系
备注：对于闭环内的极值就是对应的最值（例如在一个圆环（线）型定义域上，如果在线上取得极大值或者极小值，那么该极大值或者极小值就是对应的最大值和最小值，这是由于圆线型定义域上函数光滑（处处可导）得到的）",多元微分
一些几何证明问题,1、证明曲面为柱面：只需证明曲面上任一点的切平面平行于一条定直线，即证明曲面上任一点的法向量垂直于定向量（设定向量的值，并与曲面法向量相乘，得到利用对应参数相等求解的方程）（即求解这个定向量即可）,多元微分
重积分与几何,"求解柱面的侧面积：
1、直线（柱向）沿着指定路径的积分，以柱的底部为线路径（<复习全书 P262 例2 方法2>）
——————————————————————————
求解函数对外法向量的第一类曲面积分：
1、函数对外法向量的求导，利用一二类曲面积分的关系转换成第二类曲面积分
——————————————————————————
第一类曲线积分，被积函数包含函数对向量（外法线向量）求偏导数：
1、函数关于法向量求导的关系式：$\frac{\partial u}{\partial \boldsymbol{n}} \mathrm{d} s=\frac{\partial u}{\partial x} \cos (\boldsymbol{n}, x) \mathrm{d} s+\frac{\partial u}{\partial y} \cos (\boldsymbol{n}, y) \mathrm{d} s$（这是由方向导数推导出来的）
2、找到法向量表示与曲线切线方向向量（即方向余弦）的关系并进行转换
3、将第一类曲线积分转换成第二类曲线积分（第二类曲线积分的方向向量是曲线的正向的切线方向）",多元积分
函数的有界性讨论,"有界的判定：
1、有界判定定理：如果函数在闭区间上连续，则函数在闭区间内有界（推论：如果函数在开区间上连续，并且两端的内侧的极限都存在，则函数在开区间内有界，开区间为无穷时也成立）（运算：有界之和、积为有界函数）
2、函数与导数有界的关系：闭区间上，导函数和原函数均有界：$f^{\prime}(x)$在区间上有界 ⇒ $f(x)$在区间上有界，其余有界情况均不成立（拉格朗日中值定理与绝对值放缩来证明）
3、函数与导数无界的关系：闭区间上，导函数和原函数均无界：$f(x)$在区间上无界 ⇒ $f^{\prime}(x)$在区间上无界，其余无界情况均不成立
4、极限表述形式：邻域内有界（指定点的极限）；大于指定范围时有界（无穷远处的极限）；极限趋近于无穷，则无界；极限无穷振荡，也是无界，不等同于无穷
——————————————————————————
判定特殊情况：
1、三角函数取特殊趋近值（不同的趋近方式）：三角函数等于$(-1,1)$之间的值时有无穷个点，导致取0值时或者取非0值时得到的极限有不同的结果
注意：无穷小与无穷大的描述（无穷大与无穷小均为单一的值）
注意：区分无穷振荡型与无穷大（无穷振荡型并非是极限无穷大）",函数极限连续
曲线、曲面积分的定义与性质,"第一类曲线积分（对弧长的积分）的定义和性质：
1、定义：$\int_{L} f(x, y) \mathrm{d} s\frac{\Delta}{=} \lim _{\lambda \rightarrow 0} \sum_{i=1}^{n} f\left(\xi_{i}, \eta_{i}\right) \Delta s_{i}$
2、性质（与积分方向无关）：$\int_{L(\widehat{A B})} f(x, y) \mathrm{d} s=\int_{L(\widehat{B A})} f(x, y) \mathrm{d} s$
——————————————————————————
第二类曲线积分（对坐标的积分）的定义和性质：
1、定义式：$\int_{L(\widehat{A B})} P(x, y) \mathrm{d} x+Q(x, y) \mathrm{d} y \Longrightarrow \lim_{\lambda \rightarrow 0} \sum_{i=1}^{n}\left[P\left(\xi_{i}, \eta_{i}\right) \Delta x_{i}+Q\left(\xi_{i}, \eta_{i}\right) \Delta y_{i}\right]$
2、性质（与积分方向有关）：$\int_{L(\widehat{A B})} P \mathrm{~d} x+Q \mathrm{~d} y=-\int_{L(\widehat{B A})} P \mathrm{~d} x+Q \mathrm{~d} y$（负号出现是因为方向余弦反向了）
3、与第一类曲线积分的关系：$\int_{L} P \mathrm{~d} x+Q \mathrm{~d} y=\int_{L}(P \cos \alpha+Q \cos \beta) \mathrm{ds}$，其中$\cos \alpha, \cos \beta$为有向曲线$L$的切线的方向余弦（注意：方向余弦的方向是否是正向的，即积分路径的方向）
——————————————————————————
第一类面积分定义与性质：
1、定义：$\iint_{\Sigma} f(x, y, z) \mathrm{d} S=\lim_{\lambda \rightarrow 0} \sum_{i=1}^{n} f\left(\xi_{i}, \eta_{i}, \zeta_{i}\right) \Delta S_{i}$
2、性质（与曲面的侧无关）：即$\iint_{\Sigma} f(x, y, z) \mathrm{d} S=\iint_{-\Sigma} f(x, y, z) \mathrm{d} S$
——————————————————————————
第二类面积分定义与性质：
1、定义：$\iint_{\Sigma} P \mathrm{~d} y \mathrm{~d} z+Q \mathrm{~d} z \mathrm{~d} x+R \mathrm{~d} x \mathrm{~d} y=\lim _{\lambda \rightarrow 0} \sum_{i=1}^{n}[P\left(\xi_{i}, \eta_{i}, \zeta_{i}\right)\left(\Delta S_{i}\right)_{y z}+Q\left(\xi_{i}, \eta_{i}, \zeta_{i}\right)\left(\Delta S_{i}\right)_{z x}+R\left(\xi_{i}, \eta_{i}, \zeta_{i}\right)\left(\Delta S_{i}\right)_{x y}]$
2、性质（与曲面的侧有关）：$\iint_{\Sigma} P \mathrm{~d} y \mathrm{~d} z+Q \mathrm{~d} z \mathrm{~d} x+R \mathrm{~d} x \mathrm{~d} y=-\iint_{-\Sigma} P \mathrm{~d} y \mathrm{~d} z+Q \mathrm{~d} z \mathrm{~d} x+R \mathrm{~d} x \mathrm{~d} y$（负号的出现是因为取面侧时法线向量的方向反向了）
3、与第一类面积分的关系：$\iint_{\Sigma} P \mathrm{~d} y \mathrm{~d} z+Q \mathrm{~d} z \mathrm{~d} x+R \mathrm{~d} x \mathrm{~d} y=\iint_{\Sigma}(P \cos \alpha+Q \cos \beta+R \cos \gamma) \mathrm{d} S$，其中$\cos \alpha, \cos \beta, \cos \gamma$为曲面$\Sigma$上点$P(x, y, z)$处指定侧的法线向量的方向余弦（转换关系类似于$\mathrm{~d} y \mathrm{~d} z = |\cos \alpha| \ \mathrm{d} S$，对坐标的积分转为对曲面的积分，所以从曲面转换到平面上的积分时，会损失方向余弦的正负性，这时就出现了曲面方向与坐标轴夹角与积分正负性的问题）
——————————————————————————
第一类曲面积分和第一类曲线积分化简：（平移法或形心公式法）（重要思路）
1、待积分曲面或者积分曲线具有规范性（圆、球）具有关于某个变量（也就是积分变量）对称性质的，利用了平移之后的对称性（结果为0）
2、积分变量是一次的（一般奇数次幂变量平移都可以，因为需要利用奇偶性抵消，但是三次之上就比较麻烦了），并且变量可以是多个，可以分别平移",多元积分
